ecosystem_type,data_type,year,var,group,old_var,value,units
lake,air_temp_hoare_met,1988,air_temp,HOR,Mean DJF air temp (degC),-2.936666667,degC
lake,air_temp_hoare_met,1988,short_wave_rad,HOR,DJF mean shortwave rad (W/m2),207.3362,W/m2
lake,air_temp_hoare_met,1989,air_temp,HOR,Mean DJF air temp (degC),-4.533333333,degC
lake,air_temp_hoare_met,1989,short_wave_rad,HOR,DJF mean shortwave rad (W/m2),191.7342,W/m2
lake,air_temp_hoare_met,1990,air_temp,HOR,Mean DJF air temp (degC),-4.106666667,degC
lake,air_temp_hoare_met,1990,short_wave_rad,HOR,DJF mean shortwave rad (W/m2),215.1655,W/m2
lake,air_temp_hoare_met,1991,air_temp,HOR,Mean DJF air temp (degC),-2.5,degC
lake,air_temp_hoare_met,1991,short_wave_rad,HOR,DJF mean shortwave rad (W/m2),216.0908,W/m2
lake,air_temp_hoare_met,1992,air_temp,HOR,Mean DJF air temp (degC),-3.97,degC
lake,air_temp_hoare_met,1992,short_wave_rad,HOR,DJF mean shortwave rad (W/m2),179.4803,W/m2
lake,air_temp_hoare_met,1993,air_temp,HOR,Mean DJF air temp (degC),-3.623333333,degC
lake,air_temp_hoare_met,1993,short_wave_rad,HOR,DJF mean shortwave rad (W/m2),213.2857,W/m2
lake,air_temp_hoare_met,1994,air_temp,HOR,Mean DJF air temp (degC),-5.556666667,degC
lake,air_temp_hoare_met,1994,short_wave_rad,HOR,DJF mean shortwave rad (W/m2),262.9348,W/m2
lake,air_temp_hoare_met,1995,air_temp,HOR,Mean DJF air temp (degC),-4.476666667,degC
lake,air_temp_hoare_met,1995,short_wave_rad,HOR,DJF mean shortwave rad (W/m2),225.5095,W/m2
lake,air_temp_hoare_met,1996,air_temp,HOR,Mean DJF air temp (degC),-3.29,degC
lake,air_temp_hoare_met,1996,short_wave_rad,HOR,DJF mean shortwave rad (W/m2),225.4095,W/m2
lake,air_temp_hoare_met,1997,air_temp,HOR,Mean DJF air temp (degC),-4.736666667,degC
lake,air_temp_hoare_met,1997,short_wave_rad,HOR,DJF mean shortwave rad (W/m2),227.2312,W/m2
lake,air_temp_hoare_met,1998,air_temp,HOR,Mean DJF air temp (degC),-4.79,degC
lake,air_temp_hoare_met,1998,short_wave_rad,HOR,DJF mean shortwave rad (W/m2),206.5104,W/m2
lake,air_temp_hoare_met,1999,air_temp,HOR,Mean DJF air temp (degC),-3.833333333,degC
lake,air_temp_hoare_met,1999,short_wave_rad,HOR,DJF mean shortwave rad (W/m2),238.0636,W/m2
lake,air_temp_hoare_met,2000,air_temp,HOR,Mean DJF air temp (degC),-4.74,degC
lake,air_temp_hoare_met,2000,short_wave_rad,HOR,DJF mean shortwave rad (W/m2),248.6453,W/m2
lake,air_temp_hoare_met,2001,air_temp,HOR,Mean DJF air temp (degC),-5.546666667,degC
lake,air_temp_hoare_met,2001,short_wave_rad,HOR,DJF mean shortwave rad (W/m2),246.3907,W/m2
